sentiment,aspect,former_emp
3,nature_of_work,0
1,pay,0
3,promotion,0
1,promotion,0
3,nature_of_work,0
1,benefits,0
3,rewards,0
1,supervision,0
1,nature_of_work,0
1,rewards,0
3,supervision,0
1,promotion,0
3,rewards,0
3,promotion,0
1,promotion,0
1,pay,0
3,communication,0
1,benefits,0
3,supervision,1
1,nature_of_work,1
1,promotion,0
1,promotion,0
1,rewards,0
1,pay,0
3,nature_of_work,1
1,promotion,1
3,nature_of_work,0
1,nature_of_work,0
1,promotion,0
1,pay,0
1,supervision,0
1,supervision,0
1,pay,0
1,rewards,0
3,conditions,0
1,pay,0
3,conditions,0
1,promotion,0
1,conditions,1
1,promotion,1
3,supervision,0
1,conditions,0
3,pay,0
1,communication,0
1,pay,0
1,benefits,0
3,supervision,0
1,supervision,0
1,pay,0
1,supervision,0
3,nature_of_work,0
1,pay,0
3,coworkers,1
1,supervision,1
1,promotion,1
1,conditions,1
3,promotion,1
1,conditions,1
1,promotion,1
1,pay,1
1,promotion,0
1,conditions,0
1,conditions,0
3,promotion,0
3,rewards,1
1,supervision,1
1,pay,0
1,promotion,0
1,pay,0
1,pay,0
1,supervision,0
1,supervision,0
3,conditions,0
1,coworkers,0
1,supervision,0
1,communication,0
1,promotion,0
1,conditions,0
3,conditions,0
1,pay,0
3,nature_of_work,0
3,conditions,0
3,conditions,0
1,supervision,0
3,pay,0
1,nature_of_work,0
3,conditions,1
1,conditions,1
3,nature_of_work,0
1,supervision,0
3,nature_of_work,0
1,promotion,0
3,conditions,1
1,promotion,1
3,rewards,0
1,promotion,0
3,conditions,0
3,supervision,0
3,promotion,0
3,rewards,0
3,conditions,0
1,supervision,0
1,nature_of_work,0
1,conditions,0
3,supervision,0
1,promotion,0
3,conditions,0
1,supervision,0
1,pay,0
1,pay,0
1,nature_of_work,0
1,promotion,0
3,conditions,0
1,pay,0
3,nature_of_work,0
3,supervision,0
1,nature_of_work,1
1,supervision,1
3,rewards,1
1,rewards,1
3,pay,1
1,nature_of_work,1
3,nature_of_work,0
1,conditions,0
3,supervision,0
1,rewards,0
3,promotion,0
1,promotion,0
1,nature_of_work,0
1,conditions,0
3,promotion,0
1,pay,0
1,promotion,0
1,pay,0
3,rewards,1
1,promotion,1
3,pay,0
3,pay,0
3,pay,1
1,pay,1
3,promotion,0
3,conditions,0
1,rewards,0
3,promotion,0
3,supervision,1
1,conditions,1
1,conditions,0
3,pay,0
3,rewards,0
1,promotion,0
3,promotion,0
3,nature_of_work,0
3,rewards,1
3,supervision,1
3,rewards,0
1,promotion,0
3,rewards,0
1,promotion,0
3,nature_of_work,0
1,conditions,0
3,nature_of_work,0
1,promotion,0
1,promotion,0
3,supervision,0
3,conditions,0
3,promotion,0
3,promotion,1
3,promotion,1
3,rewards,1
1,promotion,1
1,promotion,0
1,supervision,0
3,supervision,0
1,promotion,0
3,supervision,0
3,supervision,0
3,promotion,0
3,promotion,0
3,rewards,1
1,benefits,1
3,promotion,1
1,rewards,1
3,promotion,0
1,supervision,0
3,nature_of_work,0
1,conditions,0
3,nature_of_work,0
1,pay,0
1,nature_of_work,0
3,promotion,0
1,nature_of_work,0
1,promotion,0
1,promotion,1
1,pay,1
3,promotion,0
1,rewards,0
1,supervision,0
3,promotion,0
3,promotion,1
1,benefits,1
1,promotion,0
1,rewards,0
3,promotion,1
1,supervision,1
3,nature_of_work,1
3,nature_of_work,1
1,rewards,0
1,rewards,0
3,conditions,0
3,promotion,0
1,promotion,0
1,supervision,0
3,pay,1
1,rewards,1
1,rewards,0
1,rewards,0
1,conditions,0
1,conditions,0
3,rewards,0
1,supervision,0
3,nature_of_work,1
1,conditions,1
3,nature_of_work,0
1,promotion,0
1,supervision,0
1,pay,0
1,promotion,0
1,supervision,0
3,supervision,1
1,benefits,1
1,conditions,0
1,rewards,0
3,nature_of_work,1
1,rewards,1
1,conditions,0
1,supervision,0
3,benefits,0
1,promotion,0
3,conditions,0
3,rewards,0
1,supervision,0
1,rewards,0
1,pay,0
1,pay,0
3,supervision,0
1,promotion,0
3,promotion,0
1,rewards,0
3,promotion,0
3,promotion,0
3,nature_of_work,1
1,communication,1
3,nature_of_work,0
1,nature_of_work,0
3,rewards,0
1,rewards,0
3,conditions,0
1,conditions,0
3,nature_of_work,0
1,promotion,0
1,promotion,0
1,promotion,0
3,rewards,0
3,conditions,0
1,nature_of_work,1
3,conditions,1
1,pay,1
1,conditions,1
3,pay,0
1,promotion,0
3,rewards,0
3,promotion,0
3,nature_of_work,0
1,promotion,0
1,nature_of_work,0
3,promotion,0
3,nature_of_work,1
3,nature_of_work,1
3,nature_of_work,0
1,promotion,0
3,rewards,0
